,Countries,Total Cases,Todays Cases,Total Deaths
1,USA,"2,681,811",,"128,783 "
2,Brazil,"1,370,488",,"58,385 "
3,Russia,"647,849","+6,693","9,320 "
4,India,"568,315",+779,"16,917 "
5,UK,"311,965",,"43,575 "
6,Spain,"296,050",,"28,346 "
7,Peru,"282,365",,"9,504 "
8,Chile,"275,999",,"5,575 "
9,Italy,"240,436",,"34,744 "
10,Iran,"225,205",,"10,670 "
11,Mexico,"220,657","+3,805","27,121 "
12,Pakistan,"209,337","+2,825","4,304 "
13,Turkey,"198,613",,"5,115 "
14,Germany,"195,392",,"9,041 "
15,Saudi Arabia,"186,436",,"1,599 "
16,France,"164,260",,"29,813 "
17,Bangladesh,"145,483","+3,682","1,847 "
18,South Africa,"144,264",,"2,529 "
19,Canada,"103,918",,"8,566 "
20,Qatar,"95,106",,113 
21,Colombia,"95,043",,"3,223 "
22,Sweden,"67,667",,"5,310 "
23,Egypt,"66,754",,"2,872 "
24,Argentina,"62,268",,"1,280 "
25,Belarus,"61,790",,387 
26,Belgium,"61,427",+66,"9,747 "
27,Indonesia,"56,385","+1,293","2,876 "
28,Ecuador,"55,665",,"4,502 "
29,Netherlands,"50,223",,"6,107 "
30,UAE,"48,246",,314 
31,Iraq,"47,151",,"1,839 "
32,Kuwait,"45,524",,350 
33,Ukraine,"44,334",+706,"1,159 "
34,Singapore,"43,907",+246,26 
35,Portugal,"41,912",,"1,568 "
36,Oman,"40,070","+1,010",176 
37,Philippines,"37,514","+1,076","1,266 "
38,Poland,"34,393",+239,"1,463 "
39,Panama,"32,785",,620 
40,Bolivia,"32,125",+601,"1,071 "
41,Dominican Republic,"31,816",,733 
42,Switzerland,"31,652",,"1,962 "
43,Afghanistan,"31,359",+121,735 
44,Romania,"26,582",,"1,634 "
45,Bahrain,"26,239",,86 
46,Armenia,"25,542",+415,443 
47,Ireland,"25,462",,"1,735 "
48,Nigeria,"25,133",,573 
49,Israel,"24,688",+247,320 
50,Kazakhstan,"21,819",+492,188 
51,Honduras,"18,818",+736,485 
52,Japan,"18,476",,972 
53,Austria,"17,723",,703 
54,Guatemala,"17,409",+479,746 
55,Ghana,"17,351",,112 
56,Azerbaijan,"16,968",,206 
57,Moldova,"16,357",,541 
58,Serbia,"14,288",,274 
59,Algeria,"13,571",,905 
60,Nepal,"13,248",,29 
61,S. Korea,"12,800",+43,282 
62,Denmark,"12,751",,605 
63,Cameroon,"12,592",,313 
64,Morocco,"12,290",,225 
65,Czechia,"11,809",+4,349 
66,Sudan,"9,257",,572 
67,Ivory Coast,"9,214",,66 
68,Norway,"8,866",+4,249 
69,Malaysia,"8,639",+2,121 
70,Uzbekistan,"8,298",+76,23 
71,Australia,"7,836",+69,104 
72,Finland,"7,214",+5,328 
73,DRC,"6,939",,167 
74,Senegal,"6,698",,108 
75,El Salvador,"6,438",+265,174 
76,North Macedonia,"6,209",,298 
77,Kenya,"6,190",,144 
78,Haiti,"5,933",+86,105 
79,Tajikistan,"5,900",,52 
80,Ethiopia,"5,846",,103 
81,Venezuela,"5,530",,48 
82,Gabon,"5,394",,42 
83,Guinea,"5,351",,31 
84,Kyrgyzstan,"5,296",+279,57 
85,Bulgaria,"4,831",,223 
86,Djibouti,"4,656",,53 
87,Bosnia and Herzegovina,"4,325",,184 
